FC Novosibirsk - Dynamo Barnaul,FK Novosibirsk - Dyn. Barnaul
FC Rostow - FC Rubin Kazan,Rostov - Rubin Kazań
FC Ural Jekaterinburg - Zenit St. Petersburg,Ural - St. Petersburg
UD Vilafranquense - CF Estrela,Vilafranquense - Estrela
Benfica - Braga,Benfica - Braga
FC Pacos Ferreira - Sp. Lizbona,P. Ferreira - Sp. Lizbona
CD Santa Clara - FC Porto,Santa Clara - FC Porto
CD Tondela - CS Maritimo Madeira,Tondela - Maritimo
Lillestrøm SK - Vålerenga,Lillestrom - Valerenga
Tromsø - Strømsgodset,Tromso - Stromsgodset
Odds Ballklubb - Kristiansund BK,Odds BK - Kristiansund
Molde - Sandefjord Fotball,Molde - Sandefjord
Mjøndalen - Viking FK,Mjondalen - Viking
Haugesund - Bodø/Glimt,Haugesund - Bodo/Glimt
St. Pauli - Sandhausen,St. Pauli - Sandhausen
FC Schalke 04 - Darmstadt,Schalke - Darmstadt
Erzgebirge Aue - Heidenheim,Erzgebirge Aue - Heidenheim
Greuther Fürth - Ein. Frankfurt,Gr. Furth - Ein. Frankfurt
FC Koeln - Union Berlin,FC Koeln - Union Berlin
Hertha - Leverkusen,Hertha - Leverkusen
Santos Laguna K - Atletico San Luis K,Santos Laguna - Atl. San Luis
Monterrey K - Club America K,Monterrey - Club America
Club Leon K - Pachuca K,Club Leon - Pachuca
Uanl Tigres - Juarez,Tigres UANL - Juarez
America - Monterrey,Club America - Monterrey
Leon - Necaxa,Club Leon - Necaxa
Mazatlán - Guadalajara,Mazatlan - Guadalajara
Olympique Club of Khouribga - Wydad AC,Olympique Khouribga - Wydad Casablanca
Raja Casablanca Athletic - Rapide Oued Zem,Raja Casablanca - Rapide Oued Zem
Mas Maghrib A Fez - SCCM Chabab Mohammedia,Maghrib Fez - Chabab Mohammedia
Pohang Steelers - Gwangju,Pohang - Gwangju
Al-Arabi Irbid - Al-Sareeh,Al-Arabi - Al Sareeh
Thespakusatsu - SC Sagamihara,Thespakusatsu - Sagamihara
FC Ryukyu - Zweigen Kanazawa,Ryukyu - Kanazawa
Giravanz Kitakyushu - Ventforet Kofu,Kitakyushu - Kofu
Tokyo Verdy - V-Varen Nagasaki,Verdy Tokyo - VV Nagasaki
Omiya Ardija - Renofa Yamaguchi,Omiya - Yamaguchi
Matsumoto Yamaga FC - Niigata Albirex,Matsumoto - Niigata
Jubilo Iwata - Kyoto Sanga FC,Iwata - Kyoto
JEF United Ichihara Chiba - Mito Hollyhock,Ichihara - Mito
Ehime FC - Machida Zelvia,Ehime - Machida
Fagiano Okayama - Montedio Yamagata,Okayama - Yamagata
Blaublitz Akita - Tochigi SC,Akita - Tochigi
Kashiwa Reysol - Cerezo Osaka,Kashiwa - Cerezo Osaka
Avispa Fukuoka - Yokohama FC,Av. Fukuoka - Yokohama FC
Vegalta Sendai - Nagoya Grampus,V. Sendai - Nagoya
Oita Trinita - Gamba Osaka,Oita - Gamba Osaka
Kashima Antlers - Urawa Red Diamonds,Kashima - Urawa
FC Groningen - RKC Waalwijk,Groningen - Waalwijk
Betis - Sevilla,Betis - Sevilla
Osasuna - Real Sociedad,Osasuna - Real Sociedad
Mallorca - Elche CF,Mallorca - Elche
Valencia - Atl. Madryt,Valencia - Atl. Madryt
Villarreal - Getafe,Villarreal - Getafe
Rennes - Olympique Lyon,Rennes - Lyon
Nice - Montpellier,Nice - Montpellier
St. Etienne - Clermont Foot,St. Etienne - Clermont
Reims - Monaco,Reims - Monaco
Nantes  - Strasbourg,Nantes - Strasbourg
FC Lorient - Brest,Lorient - Brest
Marsylia - Metz,Marsylia - Metz
AC Horsens - Fremad Amager,Horsens - Fremad Amager
Vendsyssel FF - HB Køge,Vyndsyssel - Koge
Silkeborg IF - FC København,Silkeborg - FC Kopenhaga
Brøndby IF - Odense BK,Brondby - Odense
AGF Aarhus - FC Midtjylland,Aarhus - Midtjylland
Vejle BK - SønderjyskE,Vejle - Sonderjyske
Aalborg BK - Randers FC,Aalborg - Randers
FK MAS Táborsko - FK Varnsdorf,Taborsko - Varnsdorf
Mas Taborsko - Varnsdorf,Taborsko - Varnsdorf
AC Sparta Praha - FK Teplice,Sparta Praga - Teplice
FC Fastav Zlín - FK Jablonec,Zlin - Jablonec
FK Pardubice - SK Slavia Praha,Pardubice - Slavia Praga
Sparta Praga - FK Teplice,Sparta Praga - Teplice
Zlin - Jablonec,Zlin - Jablonec
FK Pardubice - Slavia Praga,Pardubice - Slavia Praga
Genk - CS Brugge,Genk - Cercle Brugge
Antwerpia - Anderlecht,Antwerp - Anderlecht
RFC Seraing - Gent,Seraing - Gent
FC Brugge - St. Liege,Club Brugge - St. Liege
Al Draih - Al-Kawkab,Al Draih - Al Kawkab
Al-Akhdoud - Al-Ain,Al Akhdood - Al Ain
Al-Qadisiyah - Bisha FC,Al Qadisiya - Bisha
Polaris Esports - Yangon Galacticos,Polaris - Yangon Galacticos
Boom Esports - Army Geniuses,BOOM - Army Geniuses
Philadelphia Flyers - Arizona,Philadelphia - Arizona
Ermak Angarsk - Rostov,Angarsk - Rostov
Cracovia - Jastrzębie,Cracovia - Jastrzębie
Gornyak Rudny - Altai Torpedo,Gornyak Rudny - Altay Torpedo
Zlin - Liberec,Zlin - Liberec
Red Bull Salzburg - Bolzano,Salzburg - Bolzano
Gruzja - Wielka Brytania,Gruzja - Wielka Brytania
Finlandia - Estonia,Finlandia - Estonia
Belgia - Grecja,Belgia - Grecja
Turcja - Kosowo,Turcja - Kosowo
Rumunia - Gruzja,Rumunia - Gruzja
Metzingen K - Dortmund K,Metzingen - Dortmund
Bietigheim K - Zwickau K,Bietigheim - Zwickau
Ajax Copenhagen K - Ringkobing,Ajax Copenhagen - Ringkobing
Los Angeles Lakers - Houston Rockets,LA Lakers - Houston
Miraflores Burgos - Oldenburg,Burgos - Oldenburg
Lavriou - BC Niżny Nowogród,Lavriou - N. Novgorod
Besiktas JK - BC Rytas Vilnius,Besiktas - Rytas Wilno
Milano - Barcelona,Milano - Barcelona
ASVEL Lyon - Uniks Kazań,Lyon - Uniks Kazań
CSKA Moskwa - Fenerbahce Istanbuł,CSKA Moskwa - Fenerbahce
Crvena Zvezda - Panathinaikos,Crvena Zvezda - Panathinaikos
Ionikos - Mons,Ionikos - Mons
USK Praga K - Avenida K,USK Praga - Avenida
Montpellier K - TTT Ryga K,Montpellier - TTT Ryga
Landes K - Arka Gdynia K,Landes - Arka Gdynia
Venezia K - MBA Moskwa K,Venezia - MBA Moskwa
Schio K - Fenerbahce K,Schio - Fenerbahce
Szekszard K - Jeketerinburg K,Szekszard - Jeketerinburg
Sopron K - Dynamo Kursk K,Sopron - Kursk
Partizan Beograd Nis - Club Joventut Badalona,Partizan B. - Joventut
